brand,name,feedbacks,nmFeedbacks,id,rating,reviewRating,root,optionId,basic,product
Jarvi elaman,"Сухой корм для стерилизованных кошек, Индейка, 1,5 кг",1012,1012,177419932,5,5.0,161910952,293791330,2828.0,2262.0
Zillii,Сухой корм для кошек Уринари РН контроль 2кг Зиллии,841,841,125971314,5,4.9,217514944,220693900,3179.0,2288.0
BLITZ,Сухой корм для стерилизованных кошек с курицей - 2 кг,397,397,102779292,5,4.9,79799613,161368434,1268.0,836.0
PRO PLAN,"Сухой корм для стерилизованных кошек 7+, Индейка, 1,5кг",2802,2802,145706060,5,5.0,123643229,245460043,2132.0,1300.0
Jarvi elaman,"Сухой корм для стерилизованных кошек, Кролик, 400 г",1292,1292,253067566,5,4.9,161910952,395106024,842.0,673.0
Secret for Pets,Сухой корм для кошек Secret Premium ягненок 2 кг,25,25,224054607,5,4.9,201721671,355295923,1575.0,878.0
belkorm,Корм для кошек сухой 10 кг с мясом и овощами,1241,1241,192891366,5,4.8,423540438,314507028,3440.0,2074.0
Royal canin,Сухой корм для кошек живущих в помещении Indoor 27 400 г,1089,1089,175014255,5,4.9,160311679,290101101,690.0,455.0
PET’S BRUNCH,Корм сухой для активных кошек имеющих доступ на улицу 2кг,329,329,204847548,5,4.7,185610565,329471540,2000.0,1620.0
оскар,Корм для кошек сухой для стерилизованных индейка 2 кг,30,30,143636704,5,4.9,82147275,242536597,1185.0,1066.0
Jarvi elaman,"Сухой корм для кошек с чувствительным пищеварением, 400 г",694,694,252699051,5,4.9,228755431,394611530,934.0,747.0
PERFECT FIT,"Корм для кошек 1,2 кг",0,0,498885639,0,0.0,507401239,693516368,1475.0,730.0
PET’S BRUNCH,Сухой корм для кошек уринари при МКБ Urinary 400г,1613,1613,204847536,5,4.8,185610565,329471529,500.0,405.0
Secret for Pets,корм для кошек сухой телятина 2 кг,2246,2246,148643351,5,4.9,126949265,249632969,3127.0,956.0
WHISKAS,Сухой корм для кошек 5 кг,3388,3388,235246882,5,5.0,211566842,370723154,4000.0,1478.0
Best dinner,"Сухой корм Holistic для стерилизованных кошек, ягненок 1,5кг",470,470,113150912,5,4.9,116422038,203990793,1900.0,1228.0
PURINA ONE,"Сухой корм для стерилизованных кошек, лосось 3 кг",4327,4327,218139035,5,5.0,194731083,347337845,1851.0,1221.0
BLITZ,Сухой корм для стерилизованных кошек 2 кг с индейкой,2234,2234,97701370,5,4.9,370783411,154798123,4467.0,1267.0
Мираторг,"Сухой корм для кошек, с телятиной,0,3кг",5094,5094,13925078,5,4.8,10419418,41788005,155.0,155.0
Ушастый Пилот,Корм для кошек сухой с говядиной 2 кг,4,4,497369356,5,5.0,199977356,691474253,771.0,508.0
Premil Official,Сухой корм для кошек с курицей 2кг,265,265,148288878,5,4.8,126208818,249079833,2867.0,1186.0
SIRIUS,"Сухой корм Утка и Клюква для стерилизованных кошек 1,5 кг",1343,1343,227878322,5,5.0,475688074,360471410,1210.0,798.0
PURINA ONE,Сухой корм для стерильных кошек 3кг Лосось,3034,3034,225495644,5,5.0,202956459,357241808,1999.0,1319.0
FLUPPY,"Корм для кошек сухой 1,5кг полнорационный",7,7,452904688,5,4.7,194797696,639164401,8990.0,1246.0
Royal canin,Сухой корм для стерилизованных кошек Sterilised 37 2 кг,5257,5257,175388691,5,4.9,160193216,290660614,2954.0,1949.0
AlphaPet WOW,Сухой корм для кошек с говядиной и печенью 1.5 кг,1372,1372,38367521,5,4.9,58655601,78457880,1509.0,896.0
Jarvi elaman,"Сухой корм для кошек с чувствительным пищеварением, 1,5 кг",299,299,253067594,5,5.0,161910954,395106052,2799.0,2239.0
SIRIUS,"Сухой корм для стерилизованных кошек утка 1,5 кг",177,177,156064246,5,4.9,136683642,260409194,3275.0,1061.0
PERFECT FIT,"Для стерилизованных кошек с курицей 2,5 кг",242,242,402122630,5,4.9,491547808,579987052,2572.0,1620.0
Formula Natural,"Сухой корм для кошек стерилизованных и кастрированных, 1кг",12,12,482597161,5,5.0,485885263,673823284,2002.0,1441.0
МИЛЫЙ КОТИК,"Корм для кошек сухой ""Мясное рагу"", 350 г",10,10,312776937,5,4.8,293930699,472734372,140.0,126.0
BLITZ,Сухой корм для стерилизованных кошек 2 кг с индейкой,210,210,171248796,5,4.9,156623510,284255878,2710.0,1234.0
PURINA ONE,"Корм с индейкой для домашних кошек 1,5 кг",3602,3602,196920336,5,4.9,194731083,319462830,951.0,627.0
Мираторг,"Сухой корм для стерилизованных кошек с телятиной 1,2кг",7667,7667,119280371,5,4.9,199977356,211678877,583.0,466.0
Zillii,"Сухой корм для кошек, от шерсти 2кг hairball",215,215,176853759,5,5.0,511840663,292934050,5433.0,1792.0
PURINA ONE,"Сухой корм для стерилизованных кошек, курица 3 кг",284,284,315157894,5,4.9,194731083,475696138,2000.0,1800.0
PET’S BRUNCH,Сухой корм для кошек с чувствительным пищеварением 2кг,430,430,204847543,5,4.8,185610565,329471536,2000.0,1082.0
Royal canin,"Сухой корм для привередливых кошек от 1 года, 200 г",270,270,409983940,5,5.0,402364307,588545898,341.0,272.0
Kitekat,"Корм для кошек сухой, мясной пир, 4шт по 350г",175,175,166035710,5,4.9,57839586,276381405,1084.0,741.0
Royal canin,"Сухой корм для стерилизованных кошек Sterilised 37 1,2 кг",3967,3967,175388690,5,5.0,160193216,290660613,1829.0,1207.0
PURINA ONE,"Сухой корм для стерилизованных кошек, курица 3 кг",4267,4267,218097865,5,5.0,194731083,347282662,1851.0,1221.0
ProBalance,"Корм сухой для кошек защита иммунитет лосось Immuno 1,8 кг",1378,1378,165764398,5,4.9,151923161,275981354,1375.0,913.0
WHISKAS,"Корм сухой для кошек, с говядиной, 1.3 кг",144,144,378530947,5,5.0,368808549,551111644,836.0,668.0
НАШ РАЦИОН,Сухой корм для кошек с говядиной 1.5 кг,0,0,478508858,0,0.0,479306374,669084201,713.0,641.0
Landor,Сухой корм для стерилизованных кошек индейка и утка 2кг,35,35,320861950,5,5.0,302312977,482931994,4660.0,1076.0
Dezzie,"Корм для кошек сухой, живущих в помещении 2 кг",187,187,149606586,5,4.9,126720271,251032503,2153.0,1377.0
Ночной охотник,"Корм сухой для кошек мясное ассорти 1,5 кг",7,7,105694446,5,5.0,181899166,165421017,1008.0,907.0
Royal canin,"Сухой корм для стерилизованных кошек Sterilised 7+ 1,5 кг",4095,4095,175019849,5,4.9,159906622,290109222,2335.0,1541.0
